Result Time,Granularity Period,Object Name,Reliability,"CR373:Cell In-Service Duration","R3710:Number of Cell BCCH Mutual Aids","R3711:Number of Recoveries after Cell BCCH Mutual Aids","R3720:Number of Cell Baseband Hopping Mutual Aids","R3721:Number of Recoveries after Cell Baseband Hopping Mutual Aids","R3722:Duration of Cell Turning off","R373:Cell Out-of-Service Duration","S3936U:Average Power Decrease on GSM 2.0 MHz Interfering Frequency","S3936V:Average Power Decrease on GSM 2.2 MHz Interfering Frequency","S3936W:Average Power Increase on GSM Non-Interfering Frequency","TR373:Cell Availability"
,Minutes,,,s,None,None,None,None,s,s,dB,dB,dB,%
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI891G2_CHOSICA, CellIndex=110, CGI=71606041222D0",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI891G1_CHOSICA, CellIndex=109, CGI=71606041222CF",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI657H3_CHOQUE, CellIndex=108, CGI=71606041340BD",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI657H2_CHOQUE, CellIndex=107, CGI=71606041340BC",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI657H1_CHOQUE, CellIndex=106, CGI=71606041340BB",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI657G3_CHOQUE, CellIndex=105, CGI=71606041319AD",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI657G2_CHOQUE, CellIndex=104, CGI=71606041319AC",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI657G1_CHOQUE, CellIndex=103, CGI=71606041319AB",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI652H3_CERRO_VELA, CellIndex=102, CGI=716060413408B",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI652H2_CERRO_VELA, CellIndex=101, CGI=716060413408A",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI652H1_CERRO_VELA, CellIndex=100, CGI=7160604134089",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI652G1_CERRO_VELA, CellIndex=97, CGI=7160604131979",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI653H1_CENIZA1, CellIndex=95, CGI=7160604134093",Unreliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI909H3_CANTOGRANDE, CellIndex=88, CGI=7160604114A95",Unreliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI909H2_CANTOGRANDE, CellIndex=87, CGI=7160604114A94",Unreliable,3600,0,0,0,0,0,0,,,,100
